"age","sex","survived"
25,"male",0
26,"male",1
30,"male",0
52,"male",0
36,"male",0
50,"male",0
11,"male",0
3,"male",1
7,"male",0
50,"female",0
4,"female",1
