"age","sex","survived"
18,"male",0
35,"male",0
40,"male",0
4,"male",0
30,"female",1
25,"male",0
19,"male",0
19,"female",1
21,"male",0
30.5,"male",0
29,"female",1
15,"male",0
31,"female",1
19,"female",1
24,"female",1
30,"male",0
31,"male",0
9,"female",0
2,"male",1
47,"female",0
54,"male",0
40,"female",0
66,"male",0
18,"male",0
24,"male",0
21,"female",0
21,"female",0
26,"female",1
29,"male",1
39,"female",1
22,"female",1
38,"female",1
44,"female",1
26,"male",0
28,"male",0
26,"male",0
34,"male",0
29,"female",1
18,"male",0
25,"male",0
28,"male",1
31,"female",1
54,"male",0
29,"female",1
36,"female",1
36,"male",0
23,"male",1
17,"male",0
28,"male",1
40.5,"male",0
50,"male",0
22,"male",0
32,"male",1
24,"male",0
21,"male",0
32,"male",1
10,"male",0
16,"female",1
22,"female",1
38,"female",1
25,"female",0
31,"female",1
29,"male",1
36,"male",0
17,"male",0
42,"male",0
35,"male",0
33,"male",0
36,"male",0
44,"male",0
21,"male",0
17,"female",0
30,"female",0
25,"male",0
33,"male",0
16,"female",1
54,"male",0
28,"male",0
19,"female",1
42,"male",0
30,"male",0
19,"male",0
13,"female",1
31,"male",0
33,"male",0
33,"male",0
21,"male",0
19,"male",0
36,"female",1
59,"male",0
24,"female",1
18,"male",0
36,"male",1
34,"male",0
15,"female",1
22,"female",1
19,"male",0
28,"male",0
16,"male",0
47,"female",0
32,"male",1
28,"male",1
36,"female",1
27,"female",0
20,"male",0
51,"male",0
24,"female",1
18,"female",1
56,"male",1
39,"male",0
4,"female",1
18,"male",1
32,"male",0
29,"male",0
18,"male",0
19,"male",0
29,"male",1
28,"male",0
26,"male",0
56,"male",1
26,"female",1
21,"male",0
18,"male",0
0.42,"male",1
25,"male",0
45,"male",0
70.5,"male",0
42,"male",0
15,"male",0
49,"female",1
37,"male",0
24,"male",0
23,"male",0
